,predicted_scores,similarity_scores
rxn00144_c,0.9999725739999998,0.7462113242181058
rxn18960_c,0.9999725739999998,0.7462113242181058
rxn15019_c,0.9999725739999998,0.7462113242181058
rxn26081_c,0.9999725700000001,0.749967502924743
rxn08014_c,0.9999725079999999,0.732722902035313
rxn10054_c,0.999972484,0.6741903028927416
rxn00281_c,0.999972412,0.6123724356957946
rxn00177_c,0.9999721099999999,0.5669326753552317
rxn00185_c,0.999972082,0.6804236436904834
rxn10157_c,0.99997198,0.8944271909999159
rxn10154_c,0.99997198,0.9486832980505138
rxn00273_c,0.999971872,0.6123724356957946
rxn00274_c,0.999971872,0.6123724356957946
rxn32338_c,0.9999718179999999,0.7999896017469086
rxn09222_c,0.9999717560000001,0.5669572365014737
rxn00229_c,0.999971594,0.5773402637260188
rxn00098_c,0.999971506,0.7473941323621037
rxn25528_c,0.999971228,0.5256989559627194
rxn01377_c,0.9999711339999999,0.7071527374977187
rxn00188_c,0.999970924,0.8411890479666808
rxn00158_c,0.9999709080000001,0.804077489987624
rxn37372_c,0.99997086,0.8198859943580203
rxn10604_c,0.9999708500000001,0.6499365964942582
rxn36655_c,0.999970802,0.5000072207900979
rxn24940_c,0.9999704919999999,0.8356678527448964
rxn00152_c,0.9999704360000001,0.5714126559714823
rxn00197_c,0.9999702600000001,0.6666666666666667
rxn26142_c,0.999970214,0.6708087700678482
rxn26396_c,0.99997008,0.5
rxn04651_c,0.9999699919999999,0.6708015015407103
rxn05578_c,0.999969458,0.6499365964942582
rxn00301_c,0.9999693159999999,0.8291512993821728
rxn13139_c,0.999969174,0.9310289187299436
rxn09690_c,0.9999690999999998,0.6499365964942582
rxn11324_c,0.9999690999999998,0.6499365964942582
rxn07449_c,0.9999689679999999,0.5163664561593039
rxn15695_c,0.9999689679999999,0.5163664561593039
rxn27954_c,0.9999687859999999,0.7769099219110243
rxn38911_c,0.9999687500000001,0.6859943405700353
rxn00421_c,0.9999687420000001,0.6761095939888515
rxn08667_c,0.99996872,0.6123724356957946
rxn38902_c,0.9999685060000001,0.7999896017469086
rxn00463_c,0.999968412,0.7537667828335197
rxn00620_c,0.99996829,0.7499675029247411
rxn33886_c,0.999968104,0.4307153779868633
rxn33418_c,0.999968104,0.4307153779868633
rxn10112_c,0.999968076,0.9954039465097708
rxn10139_c,0.9999680120000001,0.8280807216698578
rxn16317_c,0.999968004,0.7327229020353131
rxn00232_c,0.9999678519999999,0.7499675029247429
rxn00393_c,0.9999675940000001,0.44722522094923445
rxn00767_c,0.999967384,0.6761095939888516
rxn00408_c,0.9999671600000001,0.7473941323621037
rxn00233_c,0.999967112,0.599979203493817
rxn03653_c,0.999967102,0.6933685704011973
